decade,explicit,songLength_ms_,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,timeSignature,mode,valence,popularity
12,1,171829,0.00369,0.693,0.715,2.86e-06,7,0.205,-6.108,0.049,90.006,4,1,0.323,81
12,0,293706,0.232,0.549,0.44,7.37e-06,7,0.107,-8.192,0.0264,128.01,3,1,0.214,78
12,0,216573,0.615,0.62,0.869,0,6,0.131,-5.479,0.0462,126.019,4,1,0.597,78
12,1,165925,0.41,0.789,0.536,0,6,0.129,-6.862,0.242,81.039,4,1,0.437,82
12,1,138586,0.024,0.798,0.574,0,1,0.122,-6.548,0.157,155.964,4,1,0.309,81
12,1,252262,0.00588,0.711,0.611,0,1,0.23,-5.453,0.33,134.093,4,1,0.144,80
12,1,167915,0.00981,0.629,0.692,0.331,5,0.603,-8.045,0.0376,162.948,4,1,0.453,82
12,1,163797,0.149,0.783,0.479,0,7,0.101,-10.646,0.541,176.027,4,1,0.533,81
12,0,203064,0.00883,0.702,0.825,0,6,0.0674,-3.787,0.0601,102.977,4,0,0.915,85
12,1,232048,0.415,0.88,0.575,0,6,0.109,-6.091,0.163,120.031,4,1,0.671,83
12,0,164818,0.0301,0.754,0.763,2.23e-05,7,0.0901,-4.627,0.0435,117.953,4,0,0.464,91
12,1,204346,0.0181,0.84,0.744,0,1,0.629,-4.751,0.113,83.737,4,1,0.171,81
12,1,173710,0.237,0.83,0.585,0,0,0.248,-6.476,0.094,109.978,4,1,0.485,86
12,0,204093,0.877,0.422,0.34,1.77e-05,0,0.149,-6.577,0.0351,77.213,4,1,0.223,87
12,0,122338,0.00498,0.474,0.91,0.859,9,0.476,-10.431,0.0462,93.01,4,0,0.745,83
12,1,144349,0.0802,0.808,0.639,0,1,0.15,-7.266,0.279,118,4,0,0.395,81
12,1,141505,0.302,0.684,0.844,0,9,0.374,-7.649,0.335,126.677,5,1,0.335,86
12,1,196179,0.0149,0.82,0.592,4.71e-06,1,0.121,-7.002,0.29,159.98,4,1,0.4,79
12,0,339249,0.0438,0.546,0.64,0,8,0.137,-5.582,0.37,137.728,4,1,0.63,82
12,0,188102,0.946,0.77,0.302,3.38e-05,0,0.125,-7.911,0.0466,136.01,4,0,0.821,90
12,0,156106,0.868,0.708,0.186,0,9,0.0779,-8.953,0.042,72.541,4,0,0.322,83
12,0,227395,0.0377,0.713,0.676,0,10,0.154,-5.483,0.027,99.048,4,1,0.721,86
12,1,161684,0.336,0.571,0.767,0,2,0.0809,-5.16,0.287,93.421,4,1,0.605,85
12,0,170560,0.137,0.403,0.711,0,8,0.109,-4.189,0.0569,203.803,4,1,0.801,78
12,1,240000,0.0775,0.855,0.492,6.71e-06,0,0.111,-7.578,0.0483,109.975,4,0,0.385,82
12,1,134688,0.625,0.641,0.445,7.8e-06,7,0.119,-7.94,0.12,145.302,4,0,0.0534,80
12,0,254181,0.18,0.593,0.552,1.71e-05,1,0.11,-5.838,0.028,115,4,1,0.39,79
12,1,148778,0.297,0.903,0.535,0,9,0.345,-6.434,0.0742,130.022,4,1,0.508,83
12,0,154424,0.524,0.652,0.631,0.000579,6,0.165,-5.718,0.0893,127.998,4,0,0.35,83
12,1,94520,0.0121,0.892,0.577,0,2,0.243,-4.299,0.341,145.935,4,1,0.64,79
12,1,188833,0.0518,0.687,0.643,3.31e-06,0,0.11,-4.763,0.0406,135.068,4,1,0.418,81
12,1,187211,0.129,0.702,0.514,0,4,0.104,-6.674,0.0432,76.982,4,0,0.133,80
12,1,200958,0.00717,0.875,0.478,0,7,0.147,-10.562,0.218,128.99,4,1,0.409,80
12,1,112546,0.161,0.902,0.669,0,1,0.0728,-5.049,0.457,139.949,4,1,0.628,80
12,1,124093,0.00599,0.642,0.69,1.3e-06,11,0.322,-5.101,0.261,164.075,4,1,0.641,80
12,1,143480,0.0115,0.841,0.732,2.18e-05,7,0.136,-5.186,0.19,149.012,4,0,0.576,79
12,1,209883,0.166,0.734,0.846,1.74e-06,9,0.235,-3.425,0.0489,98.026,4,0,0.604,91
12,1,169531,0.269,0.846,0.48,0,8,0.0989,-8.618,0.359,143.029,4,0,0.419,78
12,0,202826,0.753,0.638,0.259,0,7,0.219,-10.706,0.0898,88.485,4,1,0.269,82
12,1,132780,0.175,0.778,0.695,0,4,0.15,-6.865,0.0913,149.996,4,0,0.472,86
12,1,109325,0.341,0.667,0.457,0,6,0.114,-6.885,0.439,97.604,4,0,0.266,82
12,1,155883,0.00302,0.84,0.766,3.61e-06,4,0.0684,-4.12,0.136,94.018,4,1,0.402,81
12,0,136000,0.72,0.437,0.184,0.00253,1,0.113,-17.667,0.0313,80.088,4,1,0.247,83
12,1,213520,0.0421,0.752,0.658,0,0,0.0927,-6.297,0.342,151.951,4,1,0.387,80
12,1,184634,0.0133,0.95,0.693,0,9,0.173,-3.424,0.0898,130.02,4,1,0.891,80
12,0,403961,0.843,0.356,0.176,0,8,0.231,-8.291,0.0391,170.425,1,1,0.289,84
12,1,146844,0.0122,0.841,0.672,0,1,0.321,-5.557,0.371,157.026,4,0,0.599,77
12,1,219802,0.18,0.693,0.935,0,8,0.179,-4.323,0.224,80.882,4,1,0.391,85
12,0,285634,0.778,0.298,0.38,5.62e-05,6,0.11,-8.426,0.0287,75.602,4,1,0.152,84
12,1,195906,0.00748,0.819,0.626,0.101,10,0.167,-4.574,0.202,143.01,4,0,0.415,80
12,0,153190,0.178,0.604,0.741,3.49e-05,2,0.409,-5.571,0.0475,153.947,4,1,0.473,86
12,1,139741,0.017,0.923,0.604,0,11,0.272,-6.671,0.245,145.062,4,0,0.826,81
12,1,131500,0.0216,0.711,0.646,0,2,0.0921,-5.444,0.225,160.931,3,0,0.778,83
12,0,144535,0.000674,0.608,0.792,0.653,9,0.252,-5.721,0.0355,161.104,4,1,0.611,83
12,1,218447,0.492,0.597,0.571,0,1,0.093,-6.205,0.293,106.196,3,0,0.165,80
12,1,163384,0.074,0.952,0.29,0,8,0.107,-11.459,0.428,130.083,4,1,0.394,79
12,1,178153,0.0136,0.781,0.594,0,0,0.162,-6.959,0.0485,129.895,4,0,0.0628,80
12,1,232064,0.0313,0.883,0.808,0,1,0.207,-3.158,0.182,119.01,4,0,0.806,79
12,0,185773,0.00162,0.628,0.639,0,8,0.354,-5.46,0.0435,108.045,4,1,0.493,84
12,1,204626,0.019,0.793,0.481,1.09e-06,9,0.139,-9.258,0.124,132.202,4,1,0.395,81
12,0,161840,0.171,0.48,0.554,0,1,0.131,-8.145,0.069,190.066,3,0,0.267,80
12,1,247079,0.279,0.505,0.267,0,9,0.096,-13.763,0.05,143.929,4,0,0.439,80
12,1,135959,0.00327,0.856,0.564,0,6,0.134,-6.295,0.392,77.972,4,0,0.483,78
12,0,225960,0.00188,0.622,0.791,3.72e-06,7,0.083,-6.106,0.0535,115.915,4,1,0.494,82
12,0,148197,0.515,0.671,0.636,0.000411,6,0.172,-8.117,0.103,120.966,4,0,0.262,94
12,1,190534,0.0187,0.905,0.647,0,10,0.282,-5.065,0.107,130.97,4,0,0.367,83
12,0,200280,0.00115,0.678,0.733,0,7,0.104,-5.025,0.0281,121.009,4,1,0.581,81
12,1,161052,0.00383,0.681,0.63,0,1,0.139,-5.585,0.0385,151.951,4,1,0.183,79
12,1,137875,0.297,0.61,0.508,0,8,0.384,-6.682,0.152,178.818,4,0,0.758,87
12,0,213718,0.00279,0.471,0.846,2.86e-06,0,0.145,-5.269,0.0389,100.089,4,1,0.539,78
12,1,156367,0.0124,0.87,0.561,0,7,0.103,-10.388,0.186,100.458,4,1,0.691,77
12,0,147350,0.00167,0.637,0.929,2.62e-05,4,0.344,-3.593,0.0491,80.974,4,1,0.902,81
12,1,150475,0.0951,0.545,0.82,0,8,0.29,-4.489,0.275,141.908,4,1,0.357,80
12,1,174682,0.343,0.643,0.403,0,1,0.138,-11.254,0.41,98.54,4,0,0.111,80
12,1,157675,0.144,0.801,0.688,0,1,0.107,-4.594,0.396,162.928,4,1,0.5,79
12,1,242180,0.0417,0.706,0.625,0,0,0.129,-7.426,0.0314,142.948,4,1,0.225,80
12,1,261334,0.114,0.743,0.655,0,6,0.0764,-5.015,0.159,172.031,4,0,0.785,89
12,1,159836,0.0658,0.671,0.599,0,4,0.101,-6.18,0.0405,121.849,3,1,0.448,85
12,1,96000,0.00918,0.788,0.764,0,7,0.224,-4.054,0.254,100.095,4,1,0.841,80
12,1,239146,0.58,0.762,0.649,1.7e-05,11,0.0971,-5.624,0.0527,145.09,4,0,0.501,79
12,0,255278,0.523,0.756,0.713,3.35e-06,7,0.248,-6.917,0.102,125.064,4,1,0.59,83
12,0,144666,0.776,0.378,0.334,0,1,0.115,-10.993,0.304,181.296,4,1,0.496,80
12,0,206506,0.508,0.653,0.623,3.32e-06,8,0.285,-4.56,0.0244,100.021,4,1,0.718,76
12,0,191406,0.0469,0.727,0.626,2.58e-05,7,0.126,-8.415,0.0726,86.97,4,1,0.322,80
12,0,224213,0.0513,0.501,0.815,0,1,0.106,-4.865,0.0436,160.087,4,1,0.46,77
12,1,205090,0.401,0.731,0.573,5.22e-05,4,0.113,-10.059,0.0544,109.928,4,0,0.145,86
12,1,227478,0.0631,0.904,0.723,0,11,0.185,-5.224,0.26,145.013,4,0,0.835,80
12,0,214613,0.761,0.423,0.355,0,0,0.0915,-10.565,0.0454,93.788,4,1,0.465,80
12,1,215693,0.0392,0.887,0.485,0,11,0.141,-9.358,0.2,125.987,4,0,0.328,80
12,0,149802,0.967,0.459,0.304,1.95e-05,2,0.0951,-10.107,0.136,76.954,3,1,0.072,80
12,0,210506,0.417,0.466,0.786,6.1e-05,0,0.125,-5.13,0.0328,203.903,4,1,0.571,76
12,0,153337,0.395,0.434,0.889,0,9,0.273,-5.684,0.0509,113.326,5,1,0.845,79
12,1,220487,0.629,0.735,0.449,0,10,0.113,-7.507,0.347,122.947,4,1,0.0397,81
