explicit,songLength_ms_,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,timeSignature,mode,valence,popularity
0,232852,0.712,0.677,0.401,0,9,0.116,-8.467,0.0308,111.825,4,1,0.195,80
0,206280,0.0484,0.575,0.568,0.000417,9,0.286,-5.509,0.03,93.986,4,0,0.37,81
0,178146,0.621,0.512,0.58,1.72e-05,3,0.513,-6.658,0.029,159.847,3,0,0.303,73
0,209829,0.256,0.534,0.589,6.02e-05,1,0.176,-1.865,0.325,78.616,4,1,0.632,75
1,203760,0.0242,0.706,0.643,0,11,0.262,-6.929,0.234,143.931,4,0,0.885,80
0,260533,0.818,0.546,0.311,1.65e-05,1,0.107,-10.396,0.0288,147.464,4,1,0.246,74
1,266840,0.392,0.856,0.527,0,2,0.11,-5.225,0.0997,98.052,4,1,0.386,77
0,190185,0.121,0.674,0.428,0,7,0.132,-9.504,0.122,84.878,4,1,0.337,80
1,320654,0.349,0.689,0.338,5.7e-05,11,0.0649,-7.634,0.0629,128.012,4,0,0.568,78
1,240456,0.784,0.643,0.35,0,4,0.102,-5.924,0.0783,118.199,1,0,0.541,82
0,201240,0.0362,0.672,0.655,0,10,0.117,-5.021,0.0311,134.945,4,0,0.556,83
0,363240,0.272,0.47,0.809,0.00671,8,0.0491,-6.74,0.0495,151.836,4,1,0.49,77
0,200466,0.0764,0.686,0.783,0,4,0.163,-4.977,0.119,99.978,4,1,0.814,76
0,237300,0.287,0.765,0.473,0,10,0.391,-5.829,0.0514,119.992,4,1,0.34,81
0,202346,0.0763,0.563,0.688,0,7,0.0863,-4.474,0.0262,108.008,4,1,0.622,74
1,208463,0.0347,0.814,0.754,0.00105,7,0.115,-7.571,0.113,103.028,4,1,0.534,79
0,267066,0.00258,0.891,0.628,0.00019,2,0.0504,-7.863,0.0551,134.966,4,1,0.552,80
1,234093,0.0272,0.913,0.603,0.000503,8,0.167,-4.892,0.226,123.061,4,1,0.497,73
1,291893,0.142,0.794,0.632,0,0,0.128,-6.163,0.0649,145.926,4,1,0.355,79
1,162526,0.000909,0.853,0.514,0.0222,0,0.185,-5.445,0.246,129.963,4,0,0.679,78
0,208706,0.00272,0.506,0.817,0,11,0.0486,-5.051,0.0335,109.952,4,0,0.506,80
0,229525,0.369,0.689,0.481,1.03e-06,10,0.0649,-7.503,0.0815,80.025,4,1,0.283,83
1,351640,0.542,0.404,0.664,0.00402,1,0.11,-6.698,0.0407,107.747,4,1,0.0949,80
0,231240,0.00882,0.613,0.622,0,1,0.37,-5.794,0.0334,80.003,4,0,0.484,80
0,187973,0.106,0.444,0.819,0,10,0.107,-4.078,0.341,82.695,4,0,0.747,85
1,313546,0.337,0.722,0.331,0.282,8,0.146,-7.789,0.0726,143.961,4,1,0.102,77
1,203840,0.0274,0.921,0.641,0,1,0.0645,-6.491,0.166,144.986,4,1,0.828,76
0,124021,0.301,0.511,0.435,8.2e-05,9,0.255,-10.254,0.0408,120.207,4,1,0.343,77
1,181573,0.0528,0.557,0.586,7.33e-06,10,0.339,-4.57,0.0382,96.091,4,1,0.0681,75
0,165386,0.447,0.732,0.458,0,5,0.136,-7.225,0.0311,98.938,4,1,0.661,75
0,163870,0.047,0.643,0.783,0,10,0.083,-6.458,0.0856,154.084,4,1,0.579,78
0,227880,0.00421,0.777,0.414,2.73e-05,6,0.0724,-7.44,0.0946,100.002,4,0,0.287,72
0,205266,0.0215,0.547,0.814,0,1,0.0475,-6.191,0.12,92.986,4,1,0.724,83
1,87560,0.843,0.433,0.778,0,4,0.139,-7.681,0.041,114.208,4,1,0.764,77
0,177922,0.931,0.421,0.0952,0.000201,6,0.126,-12.561,0.0479,109.698,4,1,0.0773,77
1,205680,0.697,0.571,0.481,0,9,0.089,-7.179,0.0444,113.753,4,1,0.0807,78
1,169973,0.836,0.773,0.437,2.42e-05,9,0.544,-8.281,0.0963,103.861,4,1,0.707,80
1,253386,0.256,0.35,0.621,3.44e-05,8,0.613,-6.495,0.233,83.375,4,0,0.459,72
0,171743,0.839,0.456,0.437,0,8,0.218,-11.156,0.0867,108.678,4,1,0.209,86
1,264818,0.135,0.798,0.668,4.6e-06,8,0.0583,-5.244,0.25,134.006,4,1,0.154,73
1,312026,0.405,0.573,0.495,0,8,0.0969,-7.245,0.592,179.196,3,0,0.255,72
0,153294,0.471,0.316,0.63,0.262,5,0.205,-5.963,0.117,89.643,1,1,0.313,81
1,176443,0.0963,0.631,0.709,0,2,0.376,-4.666,0.0505,84.504,4,1,0.2,75
0,229666,0.16,0.822,0.362,0,2,0.313,-7.462,0.0411,119.903,4,1,0.159,76
1,347226,0.646,0.492,0.26,0.00178,9,0.0705,-17.341,0.0921,111.519,5,0,0.312,76
0,209400,0.795,0.473,0.371,0,4,0.109,-10.219,0.0405,75.208,4,0,0.413,78
1,212373,0.0364,0.454,0.66,0,0,0.181,-4.357,0.168,184.353,4,1,0.568,71
0,176386,0.00064,0.375,0.93,0,2,0.318,-2.631,0.0561,147.124,4,1,0.491,79
0,186223,0.108,0.657,0.768,0,8,0.144,-4.628,0.0507,75.025,4,1,0.759,78
0,279000,0.607,0.598,0.56,0.0432,0,0.196,-11.679,0.0375,115.01,4,1,0.221,73
0,208500,0.159,0.471,0.634,0.365,8,0.374,-7.406,0.031,132.542,4,1,0.366,76
1,329049,0.00387,0.486,0.528,1.4e-05,1,0.106,-11.722,0.0463,178.519,4,1,0.452,78
1,127200,0.138,0.77,0.576,0,8,0.08,-11.845,0.339,166.162,4,0,0.364,77
0,171360,0.00929,0.771,0.671,0,2,0.0637,-5.617,0.0553,85.026,4,1,0.714,79
0,160640,0.753,0.704,0.551,0,8,0.2,-5.479,0.153,123.341,4,1,0.667,73
0,200379,0.816,0.511,0.363,0.0317,4,0.084,-7.65,0.041,144.892,4,0,0.169,81
1,210200,0.0312,0.822,0.502,0.000887,7,0.114,-7.38,0.148,73.003,4,1,0.525,75
1,150115,0.0408,0.907,0.539,0,4,0.253,-7.782,0.36,124.918,4,1,0.664,75
0,231000,0.00256,0.598,0.786,0.00143,2,0.117,-5.572,0.0382,95.021,4,1,0.456,72
1,101851,0.0179,0.755,0.695,0,9,0.107,-5.963,0.26,128.063,4,1,0.493,77
1,228720,0.0102,0.638,0.624,0,10,0.0944,-5.37,0.0798,159.937,4,1,0.445,75
1,167679,0.00448,0.78,0.748,0.000546,11,0.115,-7.394,0.0352,125.98,4,0,0.0663,75
0,183624,0.818,0.45,0.329,0.00109,9,0.135,-12.603,0.0441,71.884,3,0,0.266,84
0,182520,0.128,0.774,0.608,0,7,0.0895,-6.264,0.128,137.494,4,1,0.56,81
1,145506,0.123,0.925,0.31,0,11,0.0931,-6.531,0.291,121.927,4,0,0.291,76
0,161840,0.89,0.272,0.238,0.00925,2,0.275,-12.148,0.0349,83.507,4,0,0.119,75
0,194733,0.622,0.776,0.626,0.899,6,0.086,-12.561,0.0396,122.072,4,1,0.866,76
0,200706,0.000415,0.366,0.651,0.00526,4,0.271,-3.842,0.031,151.343,3,1,0.257,72
0,198773,0.0846,0.4,0.915,0,0,0.0503,-4.89,0.28,88.917,3,1,0.878,79
1,219146,0.152,0.774,0.753,0,4,0.0371,-5.446,0.0517,119.002,4,0,0.896,82
0,229573,0.0906,0.499,0.8,0,1,0.147,-2.665,0.0502,139.919,4,0,0.272,77
0,181613,0.607,0.795,0.178,0,0,0.623,-11.991,0.0574,93.982,4,1,0.608,81
0,219801,0.00517,0.52,0.903,0,2,0.254,-5.497,0.042,74.988,4,1,0.652,82
1,235477,0.0511,0.717,0.347,2.43e-06,11,0.087,-10.265,0.0636,84.987,4,0,0.0589,76
1,256320,0.508,0.71,0.598,0,5,0.0971,-7.598,0.0319,119.981,4,0,0.501,72
1,120133,0.234,0.74,0.488,0,1,0.241,-7.664,0.27,149.042,4,0,0.584,75
0,209438,0.692,0.824,0.588,0.000104,6,0.149,-6.4,0.0924,98.027,4,0,0.513,83
0,197732,0.768,0.629,0.328,2.5e-05,11,0.103,-8.284,0.029,74.953,4,1,0.389,82
0,189466,0.217,0.704,0.611,0,2,0.0812,-6.112,0.0409,100,4,1,0.22,83
1,293840,0.000634,0.742,0.844,0,2,0.0659,-4.622,0.0479,131.986,4,1,0.416,72
0,206413,0.000972,0.707,0.924,0.00703,7,0.204,-2.842,0.031,127.937,4,1,0.919,81
0,230192,0.332,0.621,0.82,0,10,0.104,-4.865,0.0367,144.905,4,1,0.452,75
0,224866,0.746,0.427,0.262,0,7,0.068,-8.541,0.0276,104.085,4,1,0.228,79
1,198427,0.473,0.865,0.39,0,0,0.0954,-5.541,0.127,139.996,4,1,0.105,72
0,231013,0.000185,0.279,0.742,0,4,0.593,-6.46,0.0898,189.868,4,0,0.328,82
0,255640,0.348,0.764,0.585,0.00294,2,0.369,-7.796,0.0305,90.013,4,1,0.89,86
0,189160,0.00392,0.498,0.81,0.00717,7,0.0635,-4.065,0.0263,79.935,4,1,0.594,78
0,277573,0.0927,0.587,0.622,0.000636,4,0.2,-5.535,0.0303,107.943,4,1,0.231,74
1,216520,0.319,0.898,0.283,0.000383,6,0.11,-12.335,0.356,138.97,4,0,0.469,75
1,456000,0.0427,0.406,0.647,0.193,3,0.1,-10.453,0.0413,180.044,4,1,0.344,76
1,271733,0.814,0.516,0.546,4.5e-06,5,0.0995,-9.105,0.249,78.267,4,1,0.515,75
0,242495,0.131,0.315,0.418,0.000679,7,0.0836,-9.146,0.0299,129.116,4,1,0.237,84
0,210840,0.0738,0.504,0.785,0,8,0.239,-4.802,0.104,173.968,4,1,0.502,82
0,183290,0.0125,0.794,0.793,0,11,0.0952,-4.521,0.0842,123.941,4,0,0.677,83
1,219638,0.03,0.511,0.806,0.0465,1,0.252,-6.093,0.0481,162.04,4,1,0.41,78
0,242652,0.935,0.319,0.0561,0.00384,0,0.388,-23.023,0.045,79.764,3,1,0.082,78
0,235225,0.516,0.273,0.565,1.68e-06,2,0.0855,-7.283,0.248,179.518,4,1,0.298,77
0,196800,0.143,0.375,0.574,0,7,0.11,-5.305,0.0315,132.025,3,1,0.406,72
1,159242,0.682,0.776,0.467,0,8,0.205,-10.094,0.272,97.486,4,0,0.563,75
1,173600,0.0651,0.797,0.844,0,11,0.087,-5.482,0.275,170.142,4,1,0.52,77
1,166368,0.469,0.817,0.556,0,4,0.131,-7.178,0.14,126.991,4,0,0.314,75
1,236293,3.81e-05,0.403,0.965,0.000276,6,0.341,-2.238,0.0964,112.363,4,1,0.431,75
0,207520,0.536,0.522,0.385,0,0,0.135,-7.355,0.0288,89.792,4,1,0.236,83
1,175229,0.202,0.876,0.519,0,11,0.108,-6.531,0.143,94.981,4,1,0.158,76
1,169344,0.0319,0.804,0.66,0,10,0.103,-4.86,0.0726,94.053,4,0,0.257,74
0,236053,0.262,0.324,0.416,3.69e-05,11,0.11,-8.92,0.0368,113.986,4,0,0.151,80
1,204000,0.738,0.441,0.283,0,0,0.156,-11.039,0.0744,76.026,3,0,0.389,72
0,200786,0.0797,0.654,0.76,0,0,0.299,-3.669,0.045,99.945,4,0,0.41,84
1,200309,0.482,0.829,0.527,0,6,0.631,-6.644,0.367,116.079,4,0,0.475,74
1,208517,0.426,0.623,0.608,0,1,0.105,-5.937,0.0434,84.98,4,0,0.263,76
0,222533,0.0211,0.596,0.856,0.0178,4,0.141,-3.556,0.0346,127.949,4,0,0.743,83
1,183527,0.00534,0.95,0.59,0,8,0.11,-6.508,0.29,130.003,4,0,0.219,77
0,256519,0.633,0.443,0.419,0.00183,7,0.404,-7.975,0.0321,132.204,4,1,0.0719,76
0,260253,0.111,0.586,0.525,0,1,0.134,-7.163,0.0615,133.629,4,0,0.508,78
1,347520,0.195,0.61,0.788,0.0142,0,0.153,-5.724,0.0585,101.045,4,1,0.472,75
1,260986,0.00996,0.394,0.661,0,4,0.343,-8.684,0.192,149.818,4,1,0.335,79
1,143640,0.44,0.606,0.532,0,3,0.132,-6.076,0.0416,81.332,3,1,0.405,75
1,131064,0.0161,0.71,0.789,2.77e-06,4,0.451,-3.874,0.0722,142.929,4,1,0.717,78
0,201538,0.162,0.578,0.537,0,9,0.076,-8.676,0.0832,83.909,4,1,0.25,84
1,198408,0.201,0.702,0.708,0,10,0.118,-5.366,0.0547,147.98,4,0,0.713,78
1,169247,0.0626,0.672,0.594,5.14e-05,1,0.152,-6.813,0.0789,171.854,4,0,0.158,84
1,142000,0.121,0.733,0.678,0,6,0.344,-7.771,0.438,175.985,4,1,0.841,76
0,269186,0.428,0.773,0.819,0,0,0.0679,-5.946,0.118,92.987,4,0,0.585,81
1,142893,0.0906,0.762,0.705,0,6,0.17,-5.195,0.164,122.955,4,0,0.264,74
0,249667,0.765,0.572,0.209,0,8,0.356,-10.413,0.0313,80.069,4,1,0.446,76
1,129720,0.768,0.735,0.197,0.000276,3,0.296,-13.378,0.537,147.899,4,0,0.383,78
0,259402,0.363,0.478,0.732,3.34e-06,4,0.0768,-4.342,0.0779,184.819,3,0,0.664,80
0,312000,0.503,0.326,0.685,0,10,0.427,-5.576,0.179,86.882,5,1,0.409,76
1,231297,0.0739,0.543,0.492,0,7,0.11,-7.432,0.156,220.099,4,1,0.107,76
0,122160,0.758,0.706,0.383,0,8,0.0608,-11.44,0.0342,86.997,4,1,0.87,79
1,222360,0.106,0.78,0.575,0,1,0.129,-5.628,0.139,81.502,4,0,0.273,75
1,162453,0.281,0.857,0.427,0,8,0.108,-8.638,0.112,130.033,4,1,0.366,79
0,174800,0.0337,0.664,0.708,0,8,0.0841,-4.154,0.0474,103.07,4,1,0.742,80
0,181880,0.378,0.728,0.616,0,4,0.105,-4.238,0.0645,99.962,4,1,0.508,79
0,199681,0.381,0.518,0.655,0,8,0.271,-6.255,0.0826,156.992,4,1,0.29,79
0,157066,0.0533,0.878,0.619,0,6,0.113,-5.56,0.102,136.041,4,1,0.639,82
1,193911,0.0213,0.798,0.568,0,5,0.0586,-9.072,0.135,148.88,3,0,0.45,74
0,230733,0.00125,0.652,0.812,3.01e-05,3,0.667,-3.797,0.0409,126.023,4,0,0.72,73
1,244193,0.000616,0.523,0.678,0,8,0.142,-6.071,0.0692,159.909,4,1,0.277,74
1,251033,0.687,0.492,0.275,0,6,0.101,-13.4,0.3,92.6,4,0,0.18,81
1,118393,0.00548,0.784,0.554,0.254,7,0.0995,-6.417,0.03,104.01,4,1,0.634,75
0,213293,0.179,0.768,0.82,0,7,0.689,-4.63,0.0474,129.965,4,0,0.625,77
0,191440,0.662,0.514,0.635,0,0,0.204,-4.622,0.0694,110.561,4,1,0.715,73
0,196746,0.0312,0.489,0.581,0,11,0.132,-5.731,0.0281,86.016,4,1,0.494,74
0,181823,0.0644,0.659,0.625,0,4,0.582,-2.253,0.045,88.042,4,1,0.442,76
1,324674,0.339,0.585,0.597,0.0404,0,0.195,-7.499,0.037,100.051,4,1,0.227,75
1,193026,0.063,0.855,0.651,0,0,0.0772,-8.044,0.235,111.997,4,0,0.559,75
0,281560,0.474,0.781,0.445,0,2,0.184,-6.061,0.0295,78.998,4,1,0.591,85
0,242733,0.346,0.778,0.547,0.000302,2,0.132,-7.273,0.0489,95.002,4,1,0.441,83
1,117073,0.00277,0.934,0.698,1.44e-05,10,0.101,-10.394,0.248,98.43,4,0,0.691,74
1,180480,0.11,0.66,0.867,0,6,0.0368,-4.285,0.116,93.033,4,0,0.377,78
0,213254,0.417,0.625,0.554,0,10,0.305,-5.531,0.0618,111.911,4,1,0.846,79
0,217306,0.184,0.765,0.523,3.56e-05,2,0.132,-4.333,0.03,104.988,4,1,0.394,83
0,181279,0.0604,0.675,0.751,0,0,0.0893,-3.539,0.0296,118.384,4,1,0.612,75
0,243600,0.0105,0.769,0.684,0.000125,1,0.0887,-5.019,0.0411,127.972,4,1,0.835,79
0,255067,0.172,0.526,0.877,0.0108,3,0.223,-4.369,0.033,145.568,3,0,0.436,76
0,120546,0.48,0.753,0.355,0.87,8,0.122,-13.295,0.0898,111.863,4,0,0.506,80
0,274693,0.682,0.494,0.632,0,5,0.0869,-6.89,0.0342,147.873,4,1,0.0797,77
1,181144,0.135,0.594,0.676,0,2,0.163,-5.808,0.344,143.477,4,1,0.472,79
1,343150,0.061,0.927,0.665,0,11,0.123,-5.313,0.244,127.076,4,1,0.175,76
1,210937,0.105,0.928,0.481,0,9,0.176,-9.35,0.287,134.007,4,0,0.613,76
0,188238,0.875,0.582,0.272,0,2,0.13,-5.662,0.0501,205.846,4,1,0.354,80
1,156719,0.00829,0.744,0.638,0,5,0.182,-4.86,0.049,98.019,4,0,0.48,75
0,187133,0.00947,0.598,0.888,0,4,0.347,-5.119,0.0807,103.966,4,1,0.482,75
0,197411,0.0965,0.458,0.561,0,10,0.156,-4.819,0.0269,149.875,3,1,0.206,80
0,172493,0.782,0.158,0.172,4.69e-05,1,0.14,-17.089,0.035,81.421,4,0,0.197,73
1,277680,0.405,0.659,0.291,0,2,0.0771,-8.275,0.0348,119.829,3,0,0.406,73
1,236160,0.104,0.649,0.791,1.97e-06,2,0.108,-6.013,0.193,128.023,4,1,0.811,74
1,246773,0.0307,0.417,0.58,1.45e-06,9,0.179,-4.574,0.207,68.58,5,1,0.139,75
1,188013,0.0011,0.766,0.809,0,1,0.168,-6.123,0.279,130.127,4,1,0.325,77
0,232906,0.0128,0.606,0.799,0,9,0.15,-4.452,0.0261,103.014,4,1,0.638,79
1,204426,0.449,0.507,0.48,0,5,0.147,-5.418,0.0266,86.046,4,1,0.35,76
1,190440,0.0421,0.726,0.554,0,5,0.106,-5.29,0.0917,169.999,4,0,0.335,79
0,211853,0.204,0.766,0.709,1.41e-05,9,0.126,-6.471,0.123,128.07,4,0,0.506,80
0,171727,0.92,0.587,0.229,0,10,0.1,-11.254,0.128,75.67,4,0,0.379,78
0,131213,0.0131,0.63,0.63,0,9,0.142,-6.211,0.0395,80.512,4,1,0.163,77
1,280173,0.00435,0.82,0.47,0,8,0.141,-7.181,0.0458,132.003,4,1,0.313,72
0,192190,0.0215,0.688,0.702,0,7,0.128,-4.792,0.0499,94.006,4,0,0.74,79
0,362653,0.000532,0.535,0.521,0.371,0,0.19,-5.942,0.0272,140.026,3,1,0.457,78
0,205200,0.0563,0.596,0.834,0,9,0.0866,-4.308,0.0474,116,4,1,0.618,72
0,195717,0.00139,0.516,0.85,0,4,0.296,-3.909,0.0706,120.324,4,0,0.583,76
0,205920,0.04,0.699,0.713,3.11e-06,9,0.294,-5.507,0.0594,121.993,4,0,0.354,81
1,276147,0.0876,0.907,0.633,2.6e-06,2,0.106,-5.145,0.184,145.914,4,1,0.395,78
1,196760,0.0588,0.542,0.674,0,6,0.0955,-4.169,0.21,76.388,4,1,0.667,76
0,280786,0.114,0.607,0.739,0.000234,0,0.192,-5.503,0.0274,84.467,4,1,0.875,72
0,199120,0.935,0.441,0.219,0,8,0.115,-14.586,0.0419,94.021,4,1,0.244,76
1,171253,0.0119,0.684,0.671,0,2,0.0769,-6.424,0.289,179.987,4,0,0.45,76
1,207333,0.0525,0.715,0.655,0,0,0.115,-6.425,0.137,95.078,4,1,0.531,79
1,201920,0.234,0.712,0.515,0,10,0.205,-6.004,0.0857,160,4,0,0.563,74
1,240653,0.0312,0.582,0.677,6.6e-06,7,0.122,-7.081,0.172,193.818,4,1,0.205,74
1,126168,0.774,0.952,0.478,0,5,0.112,-8.52,0.361,118.008,4,0,0.568,75
1,223712,0.0659,0.926,0.703,0,11,0.231,-6.337,0.103,125.022,4,0,0.485,76
0,209426,0.254,0.595,0.689,5.44e-06,6,0.129,-6.107,0.148,168.112,4,0,0.213,79
0,193400,0.0114,0.783,0.58,2.28e-06,7,0.108,-6.548,0.0408,120.021,4,1,0.66,72
1,181120,0.651,0.613,0.442,0,6,0.26,-8.874,0.288,119.737,5,1,0.252,74
0,191306,0.00635,0.626,0.913,0,0,0.293,-4.452,0.0318,113.044,4,1,0.946,73
0,190240,0.113,0.747,0.861,0,8,0.026,-5.251,0.0514,103.966,4,1,0.859,73
1,255653,0.0456,0.48,0.61,0,0,0.313,-7.042,0.305,90.034,4,1,0.297,75
1,251186,0.00892,0.464,0.701,0.309,6,0.335,-5.693,0.0411,83.996,4,0,0.356,79
0,258986,0.607,0.614,0.379,0.000464,4,0.0986,-10.48,0.0476,107.989,4,1,0.201,86
0,237546,0.0106,0.669,0.832,0,0,0.0968,-5.721,0.0682,113.035,4,1,0.7,74
1,240320,0.7,0.688,0.556,1.87e-06,6,0.108,-7.738,0.264,129.336,4,1,0.416,74
1,183920,0.333,0.499,0.695,2.85e-06,6,0.659,-9.452,0.113,131.006,4,1,0.235,78
0,205106,0.0608,0.538,0.752,5.39e-06,10,0.118,-5.106,0.0396,139.984,4,1,0.217,73
1,227175,0.261,0.451,0.876,0,10,0.098,-5.205,0.414,87.306,5,0,0.227,73
0,222773,0.348,0.606,0.497,0,4,0.275,-6.611,0.0277,130.739,4,1,0.362,72
0,191706,0.000715,0.561,0.741,1.4e-05,6,0.0822,-4.239,0.0419,139.001,4,0,0.776,73
1,201660,0.297,0.752,0.488,9.11e-06,6,0.0936,-7.05,0.0705,136.041,4,1,0.533,81
1,262693,0.00767,0.713,0.526,0.000148,1,0.124,-5.046,0.032,131.05,4,1,0.131,76
0,211013,0.13,0.522,0.522,0,2,0.438,-7.87,0.0383,77.072,4,1,0.305,80
1,181890,0.627,0.649,0.453,0,6,0.116,-7.28,0.085,99.183,4,1,0.431,74
1,212027,0.00522,0.745,0.593,5.06e-06,8,0.123,-6.35,0.0524,111.001,3,1,0.17,76
0,201893,0.111,0.683,0.796,0,11,0.197,-4.179,0.0285,90.031,4,1,0.531,73
1,241893,0.27,0.686,0.794,2.25e-05,7,0.125,-6.136,0.0385,140.952,3,0,0.532,78
0,213993,0.225,0.477,0.61,0,11,0.107,-5.628,0.144,79.882,4,0,0.358,76
0,180906,0.134,0.613,0.564,1.65e-06,8,0.0585,-7.085,0.0251,78.388,4,1,0.538,73
0,221880,0.568,0.702,0.711,0,6,0.104,-6.697,0.0248,99.988,4,0,0.498,71
1,320400,0.62,0.697,0.235,0.000144,7,0.107,-8.651,0.0534,99.947,4,1,0.378,74
0,126464,0.595,0.766,0.354,0,6,0.381,-9.486,0.0543,153.902,4,1,0.792,75
1,307187,0.0518,0.679,0.645,0,6,0.145,-7.777,0.222,125.795,4,0,0.203,73
0,484146,0.234,0.574,0.512,0,5,0.0946,-6.664,0.0503,76.899,4,0,0.512,81
0,250413,0.036,0.445,0.492,0,6,0.122,-5.717,0.0294,148.013,4,1,0.24,72
0,296520,0.154,0.61,0.893,4.41e-05,9,0.021,-3.681,0.0921,104.031,4,1,0.673,75
1,228093,0.858,0.328,0.622,0,5,0.104,-7.291,0.0866,74.267,4,0,0.401,79
1,313786,0.123,0.716,0.485,2.69e-05,1,0.604,-7.745,0.404,74.132,4,1,0.26,71
1,235040,0.136,0.906,0.444,6.44e-05,4,0.173,-8.692,0.384,140.063,4,0,0.678,74
0,204013,0.0549,0.564,0.714,0,7,0.155,-4.987,0.129,175.924,4,1,0.33,80
0,223840,0.558,0.543,0.485,0,8,0.12,-6.85,0.0305,136.961,4,1,0.371,76
1,183703,0.373,0.715,0.574,0,7,0.174,-6.236,0.0817,157,4,1,0.337,74
1,248133,0.529,0.855,0.954,0,0,0.205,-1.19,0.264,114.635,5,0,0.668,81
1,184258,0.00822,0.765,0.553,0,11,0.206,-7.116,0.358,154.971,4,0,0.565,72
0,205686,0.443,0.688,0.53,0,11,0.0995,-5.507,0.0333,106.958,4,1,0.162,80
1,245604,0.114,0.638,0.6,0,1,0.187,-5.84,0.0438,101.981,4,0,0.0399,73
1,253106,0.378,0.746,0.653,0,7,0.229,-6.745,0.289,75.016,4,1,0.672,75
1,202960,0.0048,0.7,0.709,0,7,0.029,-5.006,0.0838,122.019,4,1,0.624,79
0,210000,0.617,0.676,0.525,0,9,0.356,-5.88,0.028,112.011,4,1,0.421,77
0,305906,0.000297,0.58,0.916,0.0259,3,0.126,-4.358,0.0387,118.004,4,0,0.683,77
0,171805,0.495,0.775,0.573,0,11,0.126,-4.933,0.0585,101.925,4,1,0.667,76
1,213573,0.312,0.584,0.684,9.05e-05,10,0.112,-4.314,0.567,210.164,4,0,0.72,76
1,319253,0.197,0.358,0.715,0,7,0.581,-6.181,0.331,85.478,4,1,0.275,73
0,230012,0.000561,0.452,0.652,0,0,0.0948,-6.713,0.0282,163.935,4,0,0.64,72
1,204664,0.00381,0.8,0.578,0,4,0.359,-5.144,0.0485,143.01,4,0,0.367,79
1,251466,0.0184,0.756,0.674,0,0,0.158,-6.518,0.0959,111.995,4,0,0.389,80
1,277386,0.0267,0.629,0.515,1.22e-05,0,0.0888,-10.358,0.265,121.845,4,0,0.299,76
1,254493,0.253,0.539,0.414,1.3e-06,1,0.143,-9.156,0.0601,94.895,4,0,0.123,73
1,216826,0.00353,0.448,0.825,0,4,0.108,-5.307,0.0621,144.17,4,0,0.226,78
1,256162,0.167,0.28,0.821,0,8,0.139,-2.864,0.111,181.444,3,0,0.254,74
1,239613,0.0189,0.591,0.889,0,7,0.155,-3.839,0.115,143.067,4,1,0.65,73
1,193973,0.0967,0.755,0.552,0,9,0.158,-5.604,0.288,153.157,4,1,0.402,74
0,193546,0.178,0.389,0.665,0.000732,0,0.116,-6.169,0.0644,117.055,4,1,0.199,77
1,169319,0.00538,0.797,0.516,0.438,1,0.0728,-6.286,0.0832,109.993,4,1,0.0478,74
0,201726,0.00616,0.288,0.758,0,6,0.303,-5.692,0.0371,97.094,4,0,0.619,81
0,198400,0.227,0.515,0.449,0.0357,5,0.171,-14.468,0.0337,149.966,4,1,0.792,77
1,233023,0.388,0.724,0.269,0,5,0.0808,-15.465,0.0456,86.042,4,1,0.866,76
0,210367,0.0141,0.817,0.539,0.000496,6,0.099,-6.349,0.0621,97.062,4,0,0.158,80
1,181263,0.00104,0.922,0.581,5.86e-05,10,0.105,-7.495,0.27,140.022,4,1,0.595,76
1,270714,0.00947,0.487,0.789,4.05e-06,8,0.189,-3.69,0.044,150.007,4,1,0.0564,78
1,192253,0.063,0.687,0.631,0,9,0.108,-5.612,0.129,186.071,4,1,0.853,73
1,319973,0.327,0.733,0.334,0,1,0.116,-11.314,0.0811,119.935,4,1,0.267,74
1,232093,0.00427,0.762,0.666,0,0,0.127,-6.055,0.0916,118.97,4,1,0.278,72
0,196906,0.27,0.546,0.838,1.24e-05,7,0.0841,-3.51,0.0319,151.914,4,1,0.719,71
1,116240,0.185,0.686,0.561,0,10,0.114,-9.929,0.191,148.775,4,0,0.186,75
0,112493,0.042,0.686,0.541,0,0,0.0675,-4.993,0.0493,120.082,4,0,0.724,77
0,176971,0.882,0.541,0.153,1.66e-06,6,0.16,-10.654,0.0303,139.644,4,1,0.359,81
0,192960,0.0277,0.303,0.9,0.635,2,0.11,-2.352,0.0574,149.508,4,0,0.491,77
0,271426,0.0398,0.509,0.781,0,8,0.0749,-3.48,0.072,128,4,1,0.176,77
0,186267,0.1,0.414,0.416,0.179,11,0.131,-8.024,0.0251,159.91,4,0,0.196,78
0,179286,0.372,0.945,0.239,0.29,4,0.118,-17.862,0.0389,118.616,4,1,0.583,74
1,187173,0.457,0.549,0.653,0,0,0.0969,-7.47,0.0503,121.348,4,1,0.287,73
1,213253,0.611,0.512,0.598,0,9,0.0881,-4.959,0.115,70.189,4,0,0.345,71
0,149680,0.00262,0.535,0.448,1.94e-05,2,0.115,-9.167,0.0279,101.986,4,1,0.32,76
0,202533,0.0654,0.421,0.873,0,10,0.123,-4.343,0.0564,84.786,4,1,0.629,70
0,193733,0.00489,0.545,0.783,0,5,0.132,-4.261,0.0345,174.084,4,0,0.551,79
1,201083,0.587,0.572,0.406,4.48e-06,10,0.102,-8.624,0.0427,119.812,4,1,0.265,79
