explicit,songLength_ms_,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,timeSignature,mode,valence,popularity
1,177184,0.0312,0.886,0.427,0.00099,6,0.0906,-10.028,0.145,108.034,4,1,0.23,78
0,208687,0.866,0.464,0.473,0,1,0.109,-10.086,0.129,75.801,4,1,0.604,82
0,181026,0.0427,0.842,0.734,0,1,0.106,-5.065,0.0588,137.958,4,0,0.952,83
0,204326,0.918,0.329,0.235,0,10,0.137,-7.699,0.0303,171.006,3,1,0.22,84
1,176702,0.133,0.728,0.607,0,1,0.0864,-8.417,0.132,129.938,4,0,0.445,77
0,214506,0.00835,0.645,0.713,0,6,0.113,-5.355,0.0393,74.989,4,1,0.566,83
1,183906,0.194,0.729,0.625,0.00986,4,0.248,-5.266,0.0315,146.034,4,1,0.261,79
0,248807,0.784,0.444,0.0924,0,0,0.304,-15.605,0.0366,108.917,4,1,0.219,78
1,275253,0.0786,0.665,0.535,1.68e-05,4,0.154,-7.056,0.0572,138.842,4,0,0.37,78
1,165290,0.0673,0.943,0.595,0,5,0.0839,-8.372,0.191,117.532,4,0,0.815,75
1,212946,0.187,0.689,0.564,0,2,0.0721,-6.226,0.136,185.023,4,1,0.123,77
1,228146,0.00201,0.15,0.859,0.194,4,0.387,-2.827,0.0595,170.527,5,0,0.354,82
0,193749,0.981,0.44,0.04,0.465,3,0.111,-16.887,0.0322,135.965,4,1,0.249,82
0,220440,0.0709,0.553,0.664,0.0056,8,0.106,-7.417,0.0741,140.06,4,1,0.467,74
0,123884,0.865,0.817,0.551,0.000151,7,0.101,-9.33,0.133,109.966,4,0,0.142,78
1,142497,0.11,0.867,0.774,0,11,0.157,-5.791,0.315,130.007,4,0,0.549,74
0,294213,0.38,0.675,0.734,0.895,7,0.141,-8.659,0.0265,101.998,4,1,0.533,74
0,209213,0.161,0.513,0.661,0,5,0.246,-6.419,0.24,94.791,4,1,0.179,79
1,224002,0.036,0.926,0.454,0.000422,6,0.0896,-9.932,0.0732,119.969,4,1,0.34,79
0,129543,0.0426,0.544,0.855,0.157,6,0.167,-7.461,0.093,171.349,4,1,0.517,81
1,195586,0.128,0.71,0.49,0,1,0.0942,-9.832,0.246,74.351,4,1,0.621,78
0,340706,0.0275,0.516,0.595,0,5,0.109,-4.63,0.0313,119.972,4,1,0.222,83
1,215320,0.376,0.669,0.419,0,1,0.187,-6.724,0.522,109.813,4,0,0.0397,78
1,242983,0.22,0.805,0.33,0,1,0.105,-8.712,0.1,121.97,4,0,0.211,80
0,285120,0.309,0.421,0.407,0.000961,10,0.11,-7.445,0.0267,139.028,3,1,0.161,82
1,219333,0.0742,0.796,0.766,0,7,0.0827,-5.974,0.238,110.034,4,1,0.558,77
0,180822,0.256,0.52,0.761,4.96e-06,4,0.17,-3.093,0.0853,141.971,4,1,0.286,82
0,170933,0.0501,0.748,0.778,0,0,0.284,-5.752,0.137,95.989,4,1,0.777,81
1,253390,0.099,0.816,0.726,0,5,0.372,-3.998,0.129,136.048,4,0,0.65,82
1,192470,0.174,0.682,0.559,0,0,0.344,-5.545,0.127,202.015,4,1,0.137,78
0,169353,0.74,0.652,0.557,0,1,0.124,-5.714,0.0318,150.073,4,0,0.483,86
0,268960,0.47,0.364,0.378,0,7,0.339,-7.381,0.0331,89.918,3,0,0.366,74
1,247800,0.00627,0.577,0.447,0.00022,8,0.0899,-5.892,0.277,74.236,4,1,0.189,79
0,230226,0.0285,0.573,0.739,0,0,0.111,-5.74,0.129,97.085,4,1,0.451,75
1,210626,0.135,0.747,0.716,0,11,0.251,-2.457,0.075,125.008,4,0,0.751,75
0,240439,0.0142,0.59,0.833,5.4e-06,5,0.105,-6.503,0.0615,94.963,4,0,0.538,75
1,263373,0.241,0.749,0.925,0,10,0.52,-5.034,0.227,86.989,4,1,0.641,83
0,233712,0.581,0.825,0.652,0,1,0.0931,-3.183,0.0802,95.977,4,0,0.931,88
1,135340,0.0303,0.973,0.446,1.75e-05,3,0.121,-9.355,0.0612,115.039,4,0,0.265,76
1,205040,0.0609,0.854,0.569,0.0816,5,0.1,-8.151,0.106,80.015,4,0,0.294,83
0,212850,0.00147,0.517,0.877,0,4,0.208,-3.621,0.0297,150.004,4,1,0.616,74
1,172672,0.403,0.676,0.536,3.37e-05,2,0.105,-8.79,0.0432,79.037,4,1,0.373,76
0,135483,0.944,0,2.03e-05,0.869,2,0.112,-40.449,0,0,0,0,0,77
1,238614,0.0165,0.912,0.412,0.0126,7,0.104,-8.074,0.123,154.983,4,1,0.423,80
0,266600,0.0206,0.457,0.757,0,1,0.146,-5.177,0.032,102.961,4,1,0.417,82
0,239586,0.464,0.638,0.813,0,11,0.344,-3.849,0.0362,112.986,4,1,0.754,84
0,204990,0.0217,0.54,0.381,0.000687,7,0.305,-14.323,0.0347,155.882,4,1,0.343,81
0,137546,0.821,0.621,0.147,0,9,0.0754,-11.111,0.0374,110.62,4,1,0.346,75
1,233901,0.0293,0.726,0.769,0.0101,6,0.104,-5.043,0.123,97.985,4,1,0.733,83
1,243976,0.0948,0.729,0.603,0,6,0.113,-6.736,0.0666,134.972,4,0,0.207,76
0,164613,0.869,0.464,0.259,0.000326,3,0.116,-9.194,0.0379,97.586,4,1,0.531,80
0,198853,0.469,0.618,0.443,0,2,0.0829,-9.681,0.0526,119.949,4,1,0.167,83
0,194853,0.733,0.605,0.377,0,11,0.0808,-6.213,0.0443,73.877,4,1,0.519,82
1,222093,0.0244,0.746,0.873,0,7,0.354,-3.803,0.128,148.075,4,1,0.817,76
1,250173,0.569,0.62,0.574,0,5,0.19,-7.788,0.0479,100.023,4,0,0.357,80
